EngineSize,Cylinders,FuelType,FuelC
5.30,8.00,2.00,13.90
5.30,8.00,2.00,14.00
5.30,8.00,4.00,18.40
5.30,8.00,2.00,12.40
2.70,4.00,2.00,11.70
4.30,6.00,2.00,14.00
4.30,6.00,2.00,14.80
5.30,8.00,2.00,14.00
5.30,8.00,2.00,14.40
5.30,8.00,4.00,19.30
5.30,8.00,2.00,14.90
5.30,8.00,2.00,13.10
5.30,8.00,2.00,13.70
6.20,8.00,1.00,13.70
5.30,8.00,2.00,13.50
5.30,8.00,2.00,13.80
1.40,4.00,2.00,7.10
1.40,4.00,2.00,7.20
5.30,8.00,2.00,13.40
5.30,8.00,2.00,13.40
5.30,8.00,4.00,17.90
5.30,8.00,2.00,14.30
5.30,8.00,2.00,14.30
5.30,8.00,4.00,19.00
6.20,8.00,1.00,14.50
5.30,8.00,2.00,13.40
5.30,8.00,2.00,13.40
5.30,8.00,4.00,17.90
5.30,8.00,2.00,13.70
5.30,8.00,2.00,13.70
5.30,8.00,4.00,18.40
6.20,8.00,1.00,13.80
3.60,6.00,2.00,11.10
3.60,6.00,2.00,11.80
1.40,4.00,2.00,8.40
1.40,4.00,2.00,8.30
1.40,4.00,2.00,9.10
3.60,6.00,2.00,10.30
3.60,6.00,2.00,10.30
3.60,6.00,4.00,14.20
5.70,8.00,2.00,12.30
3.60,6.00,2.00,11.00
3.60,6.00,2.00,11.00
3.60,6.00,4.00,15.00
3.60,6.00,2.00,10.90
3.60,6.00,2.00,10.60
3.60,6.00,2.00,10.30
5.70,8.00,1.00,13.10
6.40,8.00,1.00,13.90
5.70,8.00,2.00,12.30
6.40,8.00,1.00,13.00
3.60,6.00,2.00,11.00
6.20,8.00,1.00,14.50
6.20,8.00,1.00,15.10
6.20,8.00,1.00,14.50
3.60,6.00,2.00,11.60
3.60,6.00,2.00,11.60
3.60,6.00,4.00,16.10
3.60,6.00,2.00,10.30
3.60,6.00,2.00,10.30
3.60,6.00,4.00,14.20
5.70,8.00,2.00,12.90
5.70,8.00,2.00,12.30
6.40,8.00,1.00,13.00
3.60,6.00,2.00,11.00
3.60,6.00,2.00,11.00
3.60,6.00,4.00,15.00
5.70,8.00,2.00,13.30
6.20,8.00,1.00,14.50
3.60,6.00,2.00,11.30
5.70,8.00,2.00,14.10
6.40,8.00,1.00,15.60
3.60,6.00,2.00,11.80
3.60,6.00,4.00,16.70
2.40,4.00,2.00,11.10
3.60,6.00,2.00,12.10
3.60,6.00,4.00,16.40
3.60,6.00,2.00,12.40
1.40,4.00,2.00,8.00
1.40,4.00,2.00,7.90
1.40,4.00,2.00,8.70
1.40,4.00,2.00,7.90
1.40,4.00,2.00,9.40
1.30,4.00,2.00,9.10
1.00,3.00,2.00,8.40
2.00,4.00,2.00,9.30
2.00,4.00,2.00,9.60
2.00,4.00,2.00,10.00
2.70,6.00,2.00,11.00
1.50,4.00,2.00,9.10
2.50,4.00,2.00,9.60
2.50,4.00,4.00,13.10
1.50,4.00,2.00,9.90
2.00,4.00,2.00,10.20
3.50,6.00,2.00,12.50
3.50,6.00,2.00,13.10
2.30,4.00,2.00,11.40
3.50,6.00,2.00,13.20
3.50,6.00,2.00,12.70
3.50,6.00,4.00,17.30
2.70,6.00,2.00,10.60
2.70,6.00,2.00,11.10
2.70,6.00,2.00,11.10
3.00,6.00,3.00,9.50
3.00,6.00,3.00,9.70
3.30,6.00,2.00,10.90
3.30,6.00,4.00,14.90
3.30,6.00,2.00,11.20
3.30,6.00,4.00,14.90
3.50,6.00,2.00,12.00
3.50,6.00,2.00,12.40
3.50,6.00,2.00,12.70
5.00,8.00,2.00,12.20
5.00,8.00,4.00,17.40
5.00,8.00,2.00,13.10
5.00,8.00,4.00,17.50
5.00,8.00,2.00,13.90
5.00,8.00,4.00,17.50
2.70,6.00,2.00,11.40
2.70,6.00,2.00,11.80
2.70,6.00,2.00,11.80
3.00,6.00,3.00,10.70
3.00,6.00,3.00,10.70
3.00,6.00,3.00,9.90
3.30,6.00,2.00,11.60
3.30,6.00,4.00,15.80
3.30,6.00,2.00,12.40
3.30,6.00,4.00,15.80
3.50,6.00,2.00,12.50
3.50,6.00,2.00,12.90
3.50,6.00,2.00,13.10
3.50,6.00,2.00,12.60
5.00,8.00,2.00,13.30
5.00,8.00,4.00,18.00
5.00,8.00,2.00,13.90
5.00,8.00,4.00,18.00
5.00,8.00,2.00,14.80
5.00,8.00,4.00,19.50
3.50,6.00,2.00,14.30
3.50,6.00,2.00,12.70
3.50,6.00,2.00,12.90
3.50,6.00,2.00,13.70
1.60,4.00,2.00,7.60
1.60,4.00,2.00,7.90
1.60,4.00,2.00,8.40
1.50,4.00,2.00,8.70
2.00,4.00,2.00,5.60
3.50,6.00,1.00,17.10
2.30,4.00,2.00,9.40
2.30,4.00,2.00,10.30
2.30,4.00,2.00,9.70
2.30,4.00,2.00,10.40
5.00,8.00,2.00,12.30
5.00,8.00,2.00,13.30
5.00,8.00,2.00,13.30
2.30,4.00,2.00,10.40
2.30,4.00,2.00,10.30
5.00,8.00,2.00,12.90
2.30,4.00,2.00,10.90
5.20,8.00,1.00,14.60
3.50,6.00,2.00,14.70
3.70,6.00,2.00,15.20
3.50,6.00,2.00,11.50
3.50,6.00,4.00,15.20
3.50,6.00,2.00,12.50
3.50,6.00,2.00,12.40
