EngineSize,Cylinders,FuelType,FuelC
3.00,6.00,1.00,10.50
3.00,6.00,1.00,10.60
3.00,6.00,1.00,11.00
3.00,6.00,1.00,10.70
3.00,6.00,1.00,11.20
3.00,6.00,1.00,9.90
3.00,6.00,1.00,10.40
3.00,6.00,1.00,9.90
3.00,6.00,1.00,10.50
3.80,6.00,1.00,13.50
4.00,6.00,1.00,13.90
4.00,6.00,1.00,15.10
4.00,6.00,1.00,14.40
4.00,6.00,1.00,14.10
4.00,6.00,1.00,15.10
3.00,6.00,1.00,9.80
3.00,6.00,1.00,10.50
3.00,6.00,1.00,10.80
3.00,6.00,1.00,11.40
3.00,6.00,1.00,10.00
3.00,6.00,1.00,10.50
3.80,6.00,1.00,11.40
3.80,6.00,1.00,11.40
3.80,6.00,1.00,11.40
3.80,6.00,1.00,11.40
3.80,6.00,1.00,12.70
2.00,4.00,1.00,9.40
2.00,4.00,1.00,9.80
2.50,4.00,1.00,10.60
2.50,4.00,1.00,11.00
2.50,4.00,1.00,9.90
2.50,4.00,1.00,10.70
3.00,6.00,1.00,11.40
2.90,6.00,1.00,11.80
4.00,8.00,1.00,14.10
2.00,4.00,1.00,9.40
2.00,4.00,1.00,9.80
2.50,4.00,1.00,10.60
2.50,4.00,1.00,11.00
2.50,4.00,1.00,9.90
2.50,4.00,1.00,10.70
2.00,4.00,1.00,11.30
3.00,6.00,1.00,11.70
3.00,6.00,1.00,10.70
3.00,6.00,1.00,10.90
3.00,6.00,1.00,10.90
3.00,6.00,1.00,10.70
2.90,6.00,1.00,11.20
2.90,6.00,1.00,11.20
2.90,6.00,1.00,11.60
4.00,8.00,1.00,12.60
4.00,8.00,1.00,13.40
4.00,8.00,1.00,11.20
4.00,8.00,1.00,11.20
4.00,8.00,1.00,11.90
3.60,6.00,2.00,10.80
3.60,6.00,2.00,10.40
5.70,8.00,2.00,13.60
5.70,8.00,2.00,12.40
3.60,6.00,2.00,11.10
5.70,8.00,2.00,13.80
5.70,8.00,2.00,12.90
3.00,6.00,3.00,10.40
3.60,6.00,2.00,11.90
3.60,6.00,4.00,17.00
5.70,8.00,2.00,14.80
5.70,8.00,2.00,13.60
3.00,6.00,3.00,10.80
3.60,6.00,2.00,12.60
3.60,6.00,4.00,18.00
5.70,8.00,2.00,16.30
5.70,8.00,2.00,14.00
2.40,4.00,2.00,9.90
6.70,12.00,1.00,16.30
6.60,12.00,1.00,17.00
6.60,12.00,1.00,17.00
6.60,12.00,1.00,17.00
6.70,12.00,1.00,16.30
6.70,12.00,1.00,16.30
6.60,12.00,1.00,16.60
2.40,4.00,2.00,10.40
2.00,4.00,1.00,8.60
2.00,4.00,1.00,9.90
2.00,4.00,2.00,8.10
2.00,4.00,2.00,9.40
2.50,4.00,2.00,8.20
2.00,4.00,2.00,7.50
2.00,4.00,2.00,8.90
2.00,4.00,2.00,7.60
2.00,4.00,2.00,9.00
2.50,4.00,2.00,8.20
3.60,6.00,2.00,10.30
2.50,4.00,2.00,8.50
3.60,6.00,2.00,10.50
2.00,4.00,1.00,11.20
2.00,4.00,1.00,10.00
2.50,4.00,1.00,12.70
4.00,6.00,2.00,13.20
4.00,6.00,2.00,13.20
2.00,4.00,1.00,8.70
2.00,4.00,1.00,9.90
3.50,6.00,2.00,9.40
2.50,4.00,2.00,6.90
2.50,4.00,2.00,7.40
2.50,4.00,2.00,7.50
3.50,6.00,2.00,9.00
3.50,6.00,2.00,9.20
2.50,4.00,2.00,4.90
2.50,4.00,2.00,5.10
2.00,4.00,2.00,8.20
1.80,4.00,2.00,7.50
1.80,4.00,2.00,7.60
1.80,4.00,2.00,7.60
1.80,4.00,2.00,6.90
2.00,4.00,2.00,6.70
2.00,4.00,2.00,7.50
3.50,6.00,2.00,10.30
3.50,6.00,2.00,10.60
3.50,6.00,2.00,10.60
3.50,6.00,2.00,10.40
3.50,6.00,2.00,8.30
1.80,4.00,2.00,4.40
1.80,4.00,2.00,4.70
1.50,4.00,2.00,5.10
2.50,4.00,2.00,7.80
2.50,4.00,2.00,8.30
2.50,4.00,2.00,6.00
5.70,8.00,2.00,16.40
3.50,6.00,2.00,10.80
3.50,6.00,2.00,11.70
2.70,4.00,2.00,11.20
2.70,4.00,2.00,11.70
3.50,6.00,2.00,11.90
3.50,6.00,2.00,12.70
3.50,6.00,2.00,12.90
5.70,8.00,2.00,15.90
4.60,8.00,2.00,14.90
5.70,8.00,2.00,16.30
1.50,4.00,2.00,6.60
1.50,4.00,2.00,6.80
1.50,4.00,2.00,7.40
1.50,4.00,2.00,7.20
2.00,4.00,1.00,10.40
2.00,4.00,2.00,10.50
3.60,6.00,2.00,12.20
2.00,4.00,2.00,8.20
2.00,4.00,2.00,8.20
1.40,4.00,2.00,7.40
1.40,4.00,2.00,7.40
2.00,4.00,2.00,8.60
2.00,4.00,2.00,8.70
2.00,4.00,1.00,9.20
2.00,4.00,1.00,9.90
1.80,4.00,2.00,9.40
1.80,4.00,2.00,9.60
1.40,4.00,2.00,7.60
1.40,4.00,2.00,7.40
1.80,4.00,2.00,9.60
1.80,4.00,2.00,9.30
1.40,4.00,2.00,7.00
1.40,4.00,2.00,7.00
2.00,4.00,2.00,8.40
2.00,4.00,2.00,8.50
2.00,4.00,2.00,8.10
2.00,4.00,2.00,9.50
2.00,4.00,2.00,9.80
2.00,4.00,1.00,8.40
2.00,4.00,1.00,9.40
2.00,4.00,1.00,9.20
2.00,4.00,1.00,9.40
2.00,4.00,1.00,8.40
2.00,4.00,1.00,9.40
2.00,4.00,1.00,9.30
2.00,4.00,1.00,9.40
2.00,4.00,1.00,10.00
2.00,4.00,1.00,9.00
2.00,4.00,1.00,10.00
2.00,4.00,1.00,10.40
2.00,4.00,1.00,10.00
2.00,4.00,1.00,10.70
