Merk,Engine-Size,Cylinders,Fuel-Type,Fuel-Consumption-City,Fuel-Consumption-Hwy,Fuel-Consumption-Comb,
BMW,2.00,4.00,Z,11.00,7.70,9.50,
BMW,2.00,4.00,Z,10.80,8.00,9.60,
BMW,3.00,6.00,Z,11.90,8.70,10.40,
BMW,2.00,4.00,Z,10.80,8.00,9.60,
BMW,3.00,6.00,Z,11.90,8.70,10.40,
BMW,3.00,6.00,Z,11.70,9.10,10.50,
BMW,4.40,8.00,Z,15.30,11.10,13.40,
BMW,3.00,6.00,Z,13.00,9.90,11.60,
BMW,4.40,8.00,Z,14.30,10.60,12.60,
BMW,4.40,8.00,Z,16.60,12.10,14.60,
BMW,3.00,6.00,Z,12.00,9.40,10.80,
BMW,4.40,8.00,Z,14.30,10.60,12.60,
Bugatti,8.00,16.00,Z,26.80,16.60,22.20,
Buick,3.60,6.00,X,13.00,9.10,11.20,
Buick,3.60,6.00,X,13.80,9.50,11.90,
Buick,1.40,4.00,X,9.40,7.80,8.70,
Buick,1.40,4.00,X,8.90,7.50,8.30,
Buick,1.40,4.00,X,9.90,8.10,9.10,
Buick,1.40,4.00,X,9.40,7.90,8.80,
Buick,2.00,4.00,Z,11.70,9.40,10.70,
Buick,2.50,4.00,X,11.10,8.60,10.00,
Buick,3.60,6.00,X,11.70,7.80,9.90,
Buick,2.50,4.00,X,9.40,6.80,8.20,
Buick,3.60,6.00,X,11.70,8.20,10.10,
Buick,2.00,4.00,Z,10.60,7.40,9.10,
Buick,2.00,4.00,Z,11.00,8.00,9.60,
Buick,3.60,6.00,X,12.40,8.70,10.70,
Cadillac,3.00,6.00,Z,13.10,9.10,11.30,
Cadillac,3.60,6.00,X,13.00,8.80,11.10,
Cadillac,4.20,8.00,Z,17.30,9.50,13.80,
Cadillac,2.00,4.00,Z,11.00,7.80,9.50,
Cadillac,3.60,6.00,X,12.30,8.20,10.50,
Cadillac,2.00,4.00,Z,11.40,8.10,9.90,
Cadillac,3.60,6.00,X,13.30,9.20,11.50,
Cadillac,3.60,6.00,Z,15.00,9.90,12.70,
Cadillac,6.20,8.00,Z,17.10,11.00,14.30,
Cadillac,6.20,8.00,Z,16.60,10.90,14.00,
Cadillac,2.00,4.00,Z,9.80,7.80,8.90,
Cadillac,2.00,4.00,Z,10.90,8.20,9.70,
Cadillac,3.60,6.00,X,12.10,8.90,10.60,
Cadillac,3.60,6.00,X,12.80,9.30,11.20,
Cadillac,3.60,6.00,X,12.90,8.70,11.00,
Cadillac,3.60,6.00,X,13.70,9.00,11.60,
Cadillac,3.60,6.00,Z,15.00,10.10,12.80,
Chevrolet,2.50,4.00,X,10.80,8.80,9.90,
Chevrolet,3.60,6.00,X,12.00,9.00,10.60,
Chevrolet,3.60,6.00,X,12.70,9.50,11.30,
Chevrolet,2.00,4.00,Z,10.80,7.70,9.40,
Chevrolet,2.00,4.00,Z,11.90,7.90,10.10,
Chevrolet,3.60,6.00,X,12.30,8.20,10.40,
Chevrolet,3.60,6.00,X,14.30,8.80,11.80,
Chevrolet,6.20,8.00,Z,14.50,8.80,12.00,
Chevrolet,6.20,8.00,Z,14.90,9.90,12.60,
Chevrolet,6.20,8.00,Z,18.30,11.20,15.10,
Chevrolet,6.20,8.00,Z,17.20,12.00,14.90,
Chevrolet,2.50,4.00,X,12.10,9.20,10.80,
Chevrolet,2.50,4.00,X,11.90,9.20,10.70,
Chevrolet,2.80,4.00,D,11.80,7.90,10.10,
Chevrolet,3.60,6.00,X,13.40,9.60,11.70,
Chevrolet,2.50,4.00,X,12.70,9.80,11.40,
Chevrolet,2.80,4.00,D,12.20,8.40,10.50,
Chevrolet,3.60,6.00,X,14.00,9.90,12.20,
Chevrolet,2.80,4.00,D,13.30,10.60,12.10,
Chevrolet,3.60,6.00,X,15.00,13.00,14.10,
Chevrolet,6.20,8.00,Z,15.60,9.20,12.70,
Chevrolet,6.20,8.00,Z,14.60,9.30,12.20,
Chevrolet,6.20,8.00,Z,17.20,10.10,14.00,
Chevrolet,6.20,8.00,Z,15.90,10.60,13.50,
Chevrolet,6.20,8.00,Z,19.50,12.00,16.10,
Chevrolet,6.20,8.00,Z,18.20,12.50,15.60,
Chevrolet,1.40,4.00,X,8.30,6.20,7.30,
Chevrolet,1.40,4.00,X,8.30,6.20,7.30,
Chevrolet,1.60,4.00,D,7.60,4.90,6.40,
Chevrolet,1.40,4.00,X,8.30,6.20,7.30,
Chevrolet,1.40,4.00,X,8.50,6.40,7.50,
Chevrolet,1.60,4.00,D,7.80,5.20,6.60,
Chevrolet,1.50,4.00,X,9.20,7.30,8.30,
Chevrolet,1.60,4.00,D,8.50,6.00,7.40,
Chevrolet,1.50,4.00,X,9.30,7.80,8.60,
Chevrolet,1.60,4.00,D,8.50,6.10,7.40,
Chevrolet,2.00,4.00,Z,10.90,8.30,9.70,
Chevrolet,2.50,4.00,X,10.80,8.00,9.60,
Chevrolet,3.60,6.00,X,12.70,8.50,10.80,
Chevrolet,3.60,6.00,E,17.20,11.60,14.60,
Chevrolet,1.50,4.00,X,8.20,6.60,7.50,
Chevrolet,2.00,4.00,Z,10.50,7.40,9.10,
Chevrolet,1.80,4.00,X,4.80,5.50,5.10,
Chevrolet,2.70,4.00,X,11.90,10.30,11.10,
Chevrolet,4.30,6.00,X,15.10,11.50,13.50,
Chevrolet,5.30,8.00,X,15.90,11.40,13.90,
Chevrolet,5.30,8.00,X,15.70,11.90,14.00,
Chevrolet,5.30,8.00,E,21.10,15.00,18.40,
Chevrolet,5.30,8.00,X,14.10,10.20,12.40,
Chevrolet,2.70,4.00,X,12.50,10.80,11.70,
Chevrolet,4.30,6.00,X,15.80,11.90,14.00,
Chevrolet,4.30,6.00,X,16.30,12.90,14.80,
Chevrolet,5.30,8.00,X,15.90,11.70,14.00,
Chevrolet,5.30,8.00,X,16.10,12.50,14.40,
Chevrolet,5.30,8.00,E,22.00,16.10,19.30,
Chevrolet,5.30,8.00,X,16.50,13.00,14.90,
Chevrolet,5.30,8.00,X,14.90,10.80,13.10,
Chevrolet,5.30,8.00,X,15.30,11.80,13.70,
Chevrolet,6.20,8.00,Z,15.00,12.00,13.70,
Chevrolet,5.30,8.00,X,15.60,10.90,13.50,
Chevrolet,5.30,8.00,X,15.80,11.40,13.80,
