Merk,Engine-Size,Cylinders,Fuel-Type,Fuel-Consumption-City,Fuel-Consumption-Hwy,Fuel-Consumption-Comb,
Hyundai,2.40,4.00,X,11.20,8.70,10.10,
Hyundai,3.30,6.00,X,13.20,9.40,11.50,
Hyundai,3.30,6.00,X,13.40,9.70,11.70,
Hyundai,3.30,6.00,X,14.10,10.80,12.60,
Hyundai,2.00,4.00,X,10.40,7.40,9.10,
Hyundai,2.40,4.00,X,9.30,7.10,8.30,
Hyundai,2.40,4.00,X,9.20,6.80,8.10,
Hyundai,2.00,4.00,X,6.00,5.30,5.70,
Hyundai,2.00,4.00,X,5.90,5.10,5.60,
Hyundai,2.00,4.00,X,10.00,7.90,9.10,
Hyundai,2.00,4.00,X,10.80,9.20,10.10,
Hyundai,2.40,4.00,X,11.00,9.10,10.10,
Hyundai,2.00,4.00,X,9.10,7.10,8.20,
Hyundai,2.00,4.00,X,9.40,7.10,8.40,
Hyundai,2.00,4.00,X,10.60,8.30,9.50,
Hyundai,1.60,4.00,X,8.50,6.90,7.80,
Hyundai,1.60,4.00,X,9.40,7.00,8.30,
Infiniti,2.00,4.00,Z,10.70,8.60,9.70,
Infiniti,3.00,6.00,Z,12.40,8.70,10.80,
Infiniti,3.00,6.00,Z,12.50,9.30,11.10,
Infiniti,2.00,4.00,Z,11.20,8.50,10.00,
Infiniti,3.00,6.00,Z,12.30,8.70,10.70,
Infiniti,3.00,6.00,Z,12.50,9.20,11.00,
Infiniti,3.70,6.00,Z,13.20,9.80,11.70,
Infiniti,5.60,8.00,Z,14.90,10.20,12.80,
Infiniti,2.00,4.00,Z,10.00,7.80,9.00,
Infiniti,3.50,6.00,Z,12.50,9.00,10.90,
Infiniti,5.60,8.00,Z,17.40,12.20,15.10,
Jaguar,2.00,4.00,Z,11.00,8.40,9.80,
Jaguar,2.00,4.00,D,8.90,7.20,8.10,
Jaguar,2.00,4.00,Z,10.70,8.80,9.90,
Jaguar,3.00,6.00,Z,13.30,10.00,11.80,
Jaguar,2.00,4.00,Z,10.20,7.80,9.20,
Jaguar,3.00,6.00,Z,11.90,8.50,10.40,
Jaguar,3.00,6.00,Z,14.90,9.80,12.60,
Jaguar,3.00,6.00,Z,12.40,8.80,10.80,
Jaguar,3.00,6.00,Z,15.30,10.00,12.90,
Jaguar,3.00,6.00,Z,13.00,9.20,11.30,
Jaguar,2.00,4.00,Z,10.20,7.80,9.20,
Jaguar,3.00,6.00,Z,11.90,8.50,10.40,
Jaguar,3.00,6.00,Z,14.90,9.80,12.60,
Jaguar,3.00,6.00,Z,12.40,8.80,10.80,
Jaguar,3.00,6.00,Z,15.30,10.00,12.90,
Jaguar,3.00,6.00,Z,13.00,9.20,11.30,
Jaguar,5.00,8.00,Z,15.60,10.40,13.30,
Jaguar,5.00,8.00,Z,15.60,10.40,13.30,
Jaguar,2.00,4.00,D,7.80,5.80,6.90,
Jaguar,2.00,4.00,Z,9.80,6.90,8.50,
Jaguar,3.00,6.00,Z,11.80,8.20,10.20,
Jaguar,2.00,4.00,D,7.80,5.80,6.90,
Jaguar,2.00,4.00,Z,10.10,7.20,8.80,
Jaguar,3.00,6.00,Z,12.00,8.40,10.40,
Jaguar,3.00,6.00,Z,14.00,9.00,11.80,
Jaguar,3.00,6.00,Z,14.00,9.40,11.90,
Jaguar,5.00,8.00,Z,15.80,10.30,13.30,
Jeep,2.00,4.00,X,10.40,7.60,9.10,
Jeep,2.40,4.00,X,10.80,7.60,9.30,
Jeep,3.20,6.00,X,11.90,8.20,10.20,
Jeep,2.00,4.00,X,11.20,8.00,9.80,
Jeep,2.40,4.00,X,11.20,8.00,9.80,
Jeep,3.20,6.00,X,12.20,8.60,10.60,
Jeep,2.00,4.00,X,11.50,8.60,10.20,
Jeep,3.20,6.00,X,12.80,9.00,11.10,
Jeep,2.00,4.00,X,11.80,9.20,10.60,
Jeep,3.20,6.00,X,12.90,9.90,11.60,
Jeep,2.40,4.00,X,10.60,7.60,9.30,
Jeep,2.40,4.00,X,10.40,7.30,9.00,
Jeep,2.40,4.00,X,10.80,7.80,9.50,
Jeep,2.40,4.00,X,10.80,7.60,9.40,
Jeep,3.60,6.00,X,12.70,9.60,11.30,
Jeep,5.70,8.00,X,16.70,10.90,14.10,
Jeep,3.00,6.00,D,11.20,8.50,10.00,
Jeep,6.40,8.00,Z,18.30,12.60,15.70,
Jeep,6.20,8.00,Z,20.90,13.80,17.70,
Jeep,1.30,4.00,X,9.80,7.40,8.70,
Jeep,2.40,4.00,X,10.80,7.80,9.50,
Jeep,1.30,4.00,X,10.10,8.10,9.20,
Jeep,2.40,4.00,X,11.20,8.20,9.80,
Jeep,1.30,4.00,X,10.80,8.70,9.90,
Jeep,2.00,4.00,X,10.50,9.40,10.00,
Jeep,3.60,6.00,X,12.80,10.40,11.80,
Jeep,3.60,6.00,X,13.70,9.60,11.80,
Jeep,2.00,4.00,X,10.90,10.00,10.50,
Jeep,3.60,6.00,X,12.90,10.20,11.70,
Jeep,3.60,6.00,X,13.80,10.10,12.20,
Kia,3.30,6.00,X,11.60,8.50,10.20,
Kia,2.00,4.00,X,7.70,5.90,6.90,
Kia,2.00,4.00,X,8.60,6.40,7.60,
Kia,1.60,4.00,X,4.60,5.10,4.80,
Kia,1.60,4.00,X,4.50,4.80,4.70,
Kia,1.60,4.00,X,5.10,5.80,5.40,
Kia,2.00,4.00,X,11.20,7.90,9.70,
Kia,2.40,4.00,X,9.50,7.10,8.40,
Kia,2.00,4.00,X,6.10,5.20,5.70,
Kia,1.60,4.00,X,8.50,6.40,7.50,
Kia,1.60,4.00,X,8.30,6.40,7.50,
Kia,3.30,6.00,X,12.70,10.00,11.50,
Kia,2.40,4.00,X,10.70,8.20,9.60,
Kia,2.40,4.00,X,11.20,9.00,10.20,
Kia,3.30,6.00,X,12.50,9.70,11.20,
Kia,1.60,4.00,X,9.10,7.70,8.50,
Kia,1.60,4.00,X,9.00,7.60,8.40,
Kia,2.00,4.00,X,9.50,7.80,8.70,
Kia,2.40,4.00,X,10.30,7.80,9.20,
Kia,2.00,4.00,X,11.90,10.20,11.10,
Kia,2.40,4.00,X,11.30,9.50,10.50,
Kia,2.00,4.00,Z,11.10,8.10,9.70,
Kia,3.30,6.00,Z,13.60,9.60,11.80,
Lamborghini,6.50,12.00,Z,26.30,15.60,21.50,
Lamborghini,6.50,12.00,Z,26.60,15.80,21.70,
Lamborghini,5.20,10.00,Z,18.10,13.20,15.90,
Lamborghini,5.20,10.00,Z,17.90,13.00,15.70,
Lamborghini,5.20,10.00,Z,18.10,13.20,15.90,
Lamborghini,5.20,10.00,Z,17.90,13.00,15.70,
Lamborghini,5.20,10.00,Z,17.90,13.00,15.70,
Lamborghini,5.20,10.00,Z,17.90,13.00,15.70,
Lamborghini,4.00,8.00,Z,19.20,14.10,16.90,
Land Rover,3.00,6.00,Z,14.80,11.40,13.30,
Land Rover,3.00,6.00,D,11.30,9.20,10.40,
Land Rover,2.00,4.00,Z,11.40,9.30,10.50,
Land Rover,3.00,6.00,Z,14.10,10.30,12.40,
Land Rover,3.00,6.00,D,10.70,8.30,9.60,
Land Rover,5.00,8.00,Z,14.40,11.30,13.00,
Land Rover,5.00,8.00,Z,17.90,12.70,15.50,
Land Rover,3.00,6.00,Z,14.10,10.30,12.40,
Land Rover,3.00,6.00,D,10.70,8.30,9.60,
Land Rover,5.00,8.00,Z,14.10,10.70,12.60,
Land Rover,2.00,4.00,Z,10.90,8.00,9.60,
Land Rover,2.00,4.00,Z,11.20,8.20,9.80,
Land Rover,2.00,4.00,D,9.20,7.80,8.50,
Land Rover,2.00,4.00,Z,11.70,9.20,10.60,
Land Rover,3.00,6.00,Z,13.00,10.00,11.60,
Lexus,2.50,4.00,X,5.50,5.20,5.30,
Lexus,3.50,6.00,X,10.60,7.20,9.10,
Lexus,3.50,6.00,X,10.90,7.50,9.40,
Lexus,3.50,6.00,Z,12.30,9.10,10.90,
Lexus,5.00,8.00,Z,14.90,9.70,12.50,
Lexus,4.60,8.00,Z,16.00,12.90,14.60,
Lexus,2.00,4.00,Z,11.00,7.60,9.50,
Lexus,3.50,6.00,Z,12.30,9.10,10.90,
Lexus,3.50,6.00,Z,12.30,9.10,10.90,
Lexus,5.00,8.00,Z,15.10,9.50,12.60,
Lexus,3.50,6.00,Z,9.00,7.10,8.10,
Lexus,3.40,6.00,Z,13.10,8.70,11.10,
Lexus,3.50,6.00,Z,10.30,7.70,9.10,
Lexus,5.70,8.00,Z,18.20,12.80,15.80,
Lexus,2.00,4.00,Z,10.70,8.50,9.70,
Lexus,2.00,4.00,Z,10.80,8.90,9.90,
Lexus,2.50,4.00,X,7.20,7.90,7.50,
Lexus,3.50,6.00,Z,13.10,9.80,11.20,
Lexus,3.50,6.00,Z,13.10,9.80,11.20,
Lexus,5.00,8.00,Z,15.20,9.50,12.60,
Lexus,3.50,6.00,X,12.20,9.00,10.80,
Lexus,3.50,6.00,X,13.10,9.40,11.10,
Lexus,3.50,6.00,Z,7.50,8.40,7.90,
Lexus,3.50,6.00,Z,8.10,8.40,8.10,
Lexus,2.00,4.00,X,8.00,6.30,7.20,
Lexus,2.00,4.00,X,5.50,5.70,5.60,
Lexus,2.00,4.00,X,5.70,6.20,6.00,
Lincoln,2.70,6.00,X,14.00,9.40,12.00,
Lincoln,3.00,6.00,X,14.50,9.80,12.30,
Lincoln,3.70,6.00,X,14.30,9.70,12.20,
Lincoln,2.00,4.00,X,12.30,9.30,11.00,
Lincoln,2.00,4.00,X,12.20,9.30,10.90,
Lincoln,2.30,4.00,X,13.10,9.50,11.50,
Lincoln,3.50,6.00,X,15.70,11.20,13.70,
Lincoln,3.70,6.00,X,14.70,10.30,12.70,
Lincoln,2.00,4.00,X,12.10,8.40,10.40,
Lincoln,3.00,6.00,X,14.00,9.20,11.80,
Lincoln,2.00,4.00,X,5.70,6.20,5.90,
Lincoln,2.70,6.00,X,12.60,9.20,11.00,
Lincoln,3.50,6.00,X,15.00,11.40,13.40,
Maserati,3.00,6.00,Z,14.10,9.80,12.20,
Maserati,3.00,6.00,Z,14.70,9.90,12.60,
Maserati,3.00,6.00,Z,14.70,9.90,12.60,
Maserati,4.70,8.00,Z,17.80,11.60,15.00,
Maserati,3.00,6.00,Z,15.90,11.10,13.70,
Maserati,3.00,6.00,Z,16.10,11.40,14.00,
Maserati,3.80,8.00,Z,17.90,12.90,15.30,
Maserati,3.80,8.00,Z,17.90,12.90,15.30,
Maserati,3.00,6.00,Z,15.10,10.30,12.80,
Maserati,3.00,6.00,Z,15.00,10.30,12.80,
Maserati,3.80,8.00,Z,16.00,10.80,13.70,
Mazda,2.00,4.00,X,8.30,6.90,7.70,
Mazda,2.00,4.00,X,8.80,7.00,8.00,
Mazda,2.00,4.00,X,8.60,7.40,8.10,
Mazda,2.00,4.00,X,9.70,7.70,8.80,
Mazda,2.50,4.00,X,9.70,7.80,8.80,
Mazda,2.50,4.00,X,9.30,7.60,8.50,
Mazda,2.50,4.00,X,10.20,8.20,9.30,
Mazda,2.50,4.00,X,9.80,7.90,9.00,
Mazda,2.50,4.00,X,10.80,8.70,9.80,
Mazda,2.20,4.00,D,8.90,7.90,8.40,
Mazda,2.50,4.00,X,10.60,8.40,9.60,
Mazda,2.50,4.00,X,11.60,9.10,10.50,
Mazda,2.00,4.00,X,8.40,6.60,7.60,
Mazda,2.00,4.00,X,8.70,6.40,7.70,
Mazda,2.50,4.00,X,8.80,6.40,7.70,
Mazda,2.50,4.00,X,8.80,6.60,7.80,
Mazda,2.50,4.00,X,9.20,7.00,8.20,
Mazda,2.00,4.00,X,8.60,6.70,7.70,
Mazda,2.00,4.00,X,8.70,6.60,7.80,
Mazda,2.50,4.00,X,9.00,6.80,8.00,
Mazda,2.50,4.00,X,9.20,6.60,8.10,
Mazda,2.50,4.00,X,9.80,7.40,8.70,
Mazda,2.50,4.00,X,9.10,6.70,8.00,
Mazda,2.50,4.00,X,10.00,7.50,8.90,
Mazda,2.00,4.00,Z,9.00,6.60,7.90,
Mazda,2.00,4.00,Z,9.00,7.00,8.10,
Mercedes-Benz,2.00,4.00,Z,9.70,6.80,8.40,
Mercedes-Benz,2.00,4.00,Z,9.60,7.10,8.50,
Mercedes-Benz,2.00,4.00,Z,9.40,6.80,8.30,
Mercedes-Benz,2.00,4.00,Z,9.90,7.00,8.60,
Mercedes-Benz,3.00,6.00,Z,12.40,8.70,10.70,
Mercedes-Benz,3.00,6.00,Z,12.70,9.20,11.20,
Mercedes-Benz,3.00,6.00,Z,12.90,8.80,11.10,
Mercedes-Benz,3.00,6.00,Z,12.40,8.90,10.80,
Mercedes-Benz,4.00,8.00,Z,13.20,8.70,11.20,
Mercedes-Benz,4.00,8.00,Z,13.20,8.70,11.20,
Mercedes-Benz,4.00,8.00,Z,13.90,9.70,12.00,
Mercedes-Benz,4.00,8.00,Z,13.90,9.20,11.80,
Mercedes-Benz,2.00,4.00,Z,10.30,7.90,9.20,
Mercedes-Benz,3.00,6.00,Z,12.40,8.70,10.70,
Mercedes-Benz,3.00,6.00,Z,11.20,8.30,9.90,
Mercedes-Benz,3.00,6.00,Z,12.50,9.00,10.90,
Mercedes-Benz,3.00,6.00,Z,12.30,8.50,10.60,
Mercedes-Benz,3.00,6.00,Z,11.50,8.60,10.20,
Mercedes-Benz,4.00,8.00,Z,16.00,10.50,13.50,
Mercedes-Benz,4.00,8.00,Z,14.60,10.40,12.70,
Mercedes-Benz,4.00,8.00,Z,18.10,15.60,17.00,
Mercedes-Benz,2.00,4.00,Z,10.70,8.30,9.60,
Mercedes-Benz,3.00,6.00,Z,12.50,9.60,11.20,
Mercedes-Benz,3.00,6.00,Z,12.60,9.70,11.30,
Mercedes-Benz,4.00,8.00,Z,15.00,10.90,13.20,
Mercedes-Benz,4.00,8.00,Z,15.00,10.90,13.20,
Mercedes-Benz,3.00,6.00,Z,14.00,10.60,12.40,
Mercedes-Benz,3.00,6.00,Z,14.10,10.90,12.60,
Mercedes-Benz,4.70,8.00,Z,17.70,13.40,15.80,
Mercedes-Benz,4.70,8.00,Z,17.20,12.80,15.20,
Mercedes-Benz,4.70,8.00,Z,17.80,13.20,15.70,
Mercedes-Benz,3.00,6.00,Z,12.40,9.80,11.20,
Mercedes-Benz,4.00,8.00,Z,15.50,11.50,13.70,
Mercedes-Benz,4.00,8.00,Z,15.60,11.50,13.70,
Mercedes-Benz,4.00,8.00,Z,15.30,11.40,13.50,
Mercedes-Benz,4.00,8.00,Z,15.20,11.40,13.50,
Mercedes-Benz,4.00,8.00,Z,15.90,11.80,14.00,
Mercedes-Benz,4.00,8.00,Z,14.10,8.90,11.80,
Mercedes-Benz,4.00,8.00,Z,15.80,9.80,13.10,
Mercedes-Benz,4.00,8.00,Z,14.00,8.70,11.60,
Mercedes-Benz,6.00,12.00,Z,18.60,10.90,15.10,
Mercedes-Benz,6.00,12.00,Z,17.10,11.00,14.30,
Mercedes-Benz,6.00,12.00,Z,17.60,11.00,14.60,
Mercedes-Benz,5.50,8.00,Z,15.30,10.20,13.00,
Mercedes-Benz,3.00,6.00,Z,11.80,8.20,10.20,
Mercedes-Benz,2.00,4.00,Z,9.80,6.80,8.40,
Mercedes-Benz,2.00,4.00,Z,10.30,7.80,9.10,
Mercedes-Benz,2.00,4.00,Z,11.00,7.30,9.40,
Mercedes-Benz,2.00,4.00,Z,11.30,8.10,9.90,
Mercedes-Benz,2.00,4.00,Z,10.90,7.70,9.50,
Mercedes-Benz,2.00,4.00,Z,10.90,7.70,9.50,
Mercedes-Benz,2.00,4.00,Z,9.60,6.60,8.20,
Mercedes-Benz,2.00,4.00,Z,9.90,7.30,8.70,
Mercedes-Benz,3.00,6.00,Z,11.30,7.90,9.80,
Mercedes-Benz,2.00,4.00,Z,11.00,8.10,9.70,
Mercedes-Benz,3.00,6.00,Z,11.80,8.50,10.30,
Mercedes-Benz,3.00,6.00,Z,12.70,10.10,11.60,
Mercedes-Benz,3.00,6.00,Z,12.50,9.10,11.00,
Mercedes-Benz,3.00,6.00,Z,12.30,8.90,10.80,
Mercedes-Benz,4.00,8.00,Z,18.00,14.10,16.30,
Mercedes-Benz,2.00,4.00,Z,10.10,7.60,9.00,
Mercedes-Benz,2.00,4.00,Z,11.00,8.70,10.00,
Mercedes-Benz,2.00,4.00,Z,10.80,9.00,10.00,
Mercedes-Benz,3.00,6.00,Z,13.50,10.30,12.10,
Mercedes-Benz,3.00,6.00,Z,14.90,11.20,13.20,
Mercedes-Benz,4.70,8.00,Z,17.20,12.60,15.10,
Mercedes-Benz,4.00,8.00,Z,14.40,9.50,12.20,
Mercedes-Benz,6.00,12.00,Z,18.40,11.10,15.10,
Mercedes-Benz,2.00,4.00,Z,11.50,9.80,10.70,
Mercedes-Benz,2.00,4.00,Z,11.30,9.60,10.50,
Mercedes-Benz,2.00,4.00,Z,12.30,10.30,11.40,
Mercedes-Benz,3.00,6.00,Z,12.80,8.50,10.80,
Mercedes-Benz,4.00,8.00,Z,13.80,9.20,11.70,
Mercedes-Benz,4.00,8.00,Z,13.50,8.60,11.30,
Mercedes-Benz,4.00,8.00,Z,13.50,8.60,11.30,
Mercedes-Benz,3.00,6.00,Z,11.80,8.50,10.30,
Mercedes-Benz,4.70,8.00,Z,13.50,9.30,11.60,
Mercedes-Benz,2.00,4.00,Z,10.00,7.30,8.80,
MINI,1.50,3.00,Z,8.80,6.80,7.90,
MINI,1.50,3.00,Z,8.50,6.20,7.50,
MINI,1.50,3.00,Z,8.80,6.80,7.90,
MINI,1.50,3.00,Z,8.40,6.30,7.50,
MINI,1.50,3.00,Z,10.20,7.60,9.00,
MINI,1.50,3.00,Z,10.50,7.40,9.10,
MINI,1.50,3.00,Z,8.80,6.80,7.90,
MINI,1.50,3.00,Z,8.40,6.30,7.50,
MINI,1.50,3.00,Z,10.30,7.90,9.20,
MINI,1.50,3.00,Z,10.50,7.40,9.10,
MINI,2.00,4.00,Z,9.30,7.30,8.40,
MINI,2.00,4.00,Z,10.20,7.40,9.00,
MINI,2.00,4.00,Z,9.30,7.30,8.40,
MINI,2.00,4.00,Z,10.20,7.40,9.00,
MINI,2.00,4.00,Z,10.40,7.60,9.20,
MINI,2.00,4.00,Z,11.40,7.70,9.70,
MINI,2.00,4.00,Z,9.40,7.20,8.40,
MINI,2.00,4.00,Z,10.20,7.40,9.00,
MINI,2.00,4.00,Z,10.50,7.60,9.20,
MINI,2.00,4.00,Z,11.30,7.80,9.70,
MINI,2.00,4.00,Z,9.30,7.30,8.40,
MINI,2.00,4.00,Z,10.20,7.40,9.00,
MINI,2.00,4.00,Z,10.40,7.60,9.20,
MINI,2.00,4.00,Z,11.40,7.70,9.70,
MINI,2.00,4.00,Z,9.40,7.20,8.40,
MINI,2.00,4.00,Z,10.80,7.70,9.40,
MINI,2.00,4.00,Z,10.60,7.80,9.30,
MINI,2.00,4.00,Z,11.30,7.80,9.70,
Mitsubishi,1.50,4.00,X,9.60,8.90,9.30,
Mitsubishi,1.20,3.00,X,6.60,5.60,6.20,
Mitsubishi,1.20,3.00,X,7.10,5.80,6.50,
Mitsubishi,1.20,3.00,X,6.90,5.70,6.40,
Mitsubishi,1.20,3.00,X,7.20,5.90,6.60,
Mitsubishi,2.40,4.00,X,9.90,8.10,9.10,
Mitsubishi,3.00,6.00,Z,12.00,8.80,10.60,
Mitsubishi,2.00,4.00,X,9.70,7.80,8.80,
Mitsubishi,2.00,4.00,X,10.10,8.20,9.20,
Mitsubishi,2.40,4.00,X,10.30,8.30,9.40,
Nissan,3.70,6.00,Z,12.60,9.30,11.10,
Nissan,3.70,6.00,Z,13.30,9.30,11.50,
Nissan,3.70,6.00,Z,13.00,9.70,11.50,
Nissan,3.70,6.00,Z,13.60,9.70,11.80,
Nissan,2.50,4.00,X,8.60,6.10,7.40,
Nissan,2.00,4.00,X,9.10,6.90,8.10,
Nissan,2.50,4.00,X,8.50,6.30,7.50,
Nissan,2.50,4.00,X,9.10,6.50,7.90,
Nissan,2.50,4.00,X,9.30,6.70,8.10,
Nissan,5.60,8.00,X,17.70,12.90,15.50,
Nissan,2.50,4.00,X,13.70,10.70,12.30,
Nissan,4.00,6.00,X,14.70,10.30,12.70,
Nissan,4.00,6.00,X,15.80,11.50,13.90,
Nissan,4.00,6.00,X,15.10,11.50,13.50,
Nissan,3.80,6.00,Z,14.20,10.70,12.60,
Nissan,1.60,4.00,X,7.70,6.60,7.20,
Nissan,3.50,6.00,Z,11.60,7.90,9.90,
Nissan,1.60,4.00,X,9.00,6.80,8.00,
Nissan,1.60,4.00,X,8.70,6.80,7.90,
Nissan,3.50,6.00,X,11.70,8.30,10.20,
Nissan,3.50,6.00,X,11.70,8.50,10.30,
Nissan,2.00,4.00,X,9.80,8.80,9.30,
Nissan,3.50,6.00,X,11.60,8.50,10.20,
Nissan,3.50,6.00,X,12.10,8.90,10.70,
Nissan,3.50,6.00,X,12.40,9.20,11.00,
Nissan,2.00,4.00,X,8.60,7.20,8.00,
Nissan,2.00,4.00,X,10.10,8.10,9.20,
Nissan,2.00,4.00,X,9.10,7.60,8.40,
Nissan,2.50,4.00,X,9.10,7.10,8.20,
Nissan,2.50,4.00,X,9.60,7.50,8.70,
Nissan,1.80,4.00,X,8.10,6.30,7.30,
Nissan,1.80,4.00,X,8.80,6.60,7.80,
Nissan,1.60,4.00,Z,8.90,7.30,8.20,
Nissan,1.60,4.00,Z,9.10,7.30,8.30,
Nissan,1.60,4.00,Z,9.40,7.80,8.70,
Nissan,1.60,4.00,Z,9.50,7.60,8.70,
Nissan,5.60,8.00,X,15.00,11.20,13.30,
Nissan,5.60,8.00,X,15.20,11.10,13.40,
Nissan,5.60,8.00,X,15.90,11.90,14.10,
Nissan,1.60,4.00,X,7.60,6.20,7.00,
Nissan,1.60,4.00,X,8.60,6.60,7.70,
Porsche,3.00,6.00,Z,10.60,8.00,9.40,
Porsche,3.00,6.00,Z,11.80,8.10,10.10,
Porsche,3.00,6.00,Z,10.80,8.30,9.70,
Porsche,3.00,6.00,Z,12.00,8.20,10.30,
Porsche,3.00,6.00,Z,11.50,9.10,10.40,
Porsche,3.00,6.00,Z,13.00,8.90,11.20,
Porsche,3.00,6.00,Z,11.80,9.20,10.70,
Porsche,3.00,6.00,Z,12.70,9.00,11.00,
Porsche,3.00,6.00,Z,10.80,8.30,9.70,
Porsche,3.00,6.00,Z,12.10,8.30,10.30,
Porsche,3.00,6.00,Z,10.80,8.40,9.70,
Porsche,3.00,6.00,Z,12.10,8.30,10.40,
Porsche,3.00,6.00,Z,11.90,9.10,10.60,
Porsche,3.00,6.00,Z,14.60,9.40,12.30,
Porsche,3.00,6.00,Z,10.70,8.30,9.60,
Porsche,3.00,6.00,Z,12.10,8.30,10.40,
Porsche,3.00,6.00,Z,11.00,8.40,9.80,
Porsche,3.00,6.00,Z,12.20,8.50,10.50,
Porsche,3.00,6.00,Z,11.80,9.20,10.60,
Porsche,3.00,6.00,Z,12.80,8.90,11.00,
Porsche,3.00,6.00,Z,11.90,9.30,10.70,
Porsche,3.00,6.00,Z,12.90,9.10,11.20,
Porsche,3.00,6.00,Z,11.10,8.50,9.90,
Porsche,3.00,6.00,Z,12.10,8.40,10.40,
Porsche,3.00,6.00,Z,11.00,8.50,9.90,
Porsche,3.00,6.00,Z,12.20,8.50,10.50,
Porsche,3.80,6.00,Z,15.30,11.20,13.50,
Porsche,4.00,6.00,Z,15.80,11.70,13.90,
Porsche,4.00,6.00,Z,18.00,11.50,15.10,
Porsche,4.00,6.00,Z,16.10,12.20,14.40,
Porsche,4.00,6.00,Z,16.40,11.20,14.10,
Porsche,4.00,6.00,Z,17.40,12.40,15.10,
Porsche,3.00,6.00,Z,10.90,8.40,9.80,
Porsche,3.00,6.00,Z,12.20,8.50,10.50,
Porsche,3.00,6.00,Z,12.10,9.20,10.80,
Porsche,3.00,6.00,Z,13.20,9.20,11.40,
Porsche,3.00,6.00,Z,11.10,8.60,10.00,
Porsche,3.00,6.00,Z,12.20,8.50,10.50,
Porsche,3.80,6.00,Z,12.60,9.90,11.40,
Porsche,3.80,6.00,Z,12.70,9.90,11.40,
Porsche,3.80,6.00,Z,12.60,9.90,11.40,
Porsche,3.80,6.00,Z,12.70,9.90,11.40,
Porsche,3.80,6.00,Z,14.30,10.90,12.70,
Porsche,2.00,4.00,Z,10.50,8.00,9.40,
Porsche,2.00,4.00,Z,11.00,8.30,9.80,
Porsche,2.50,4.00,Z,11.80,9.20,10.60,
Porsche,2.50,4.00,Z,12.30,9.40,11.00,
Porsche,2.50,4.00,Z,11.10,8.40,9.90,
Porsche,2.50,4.00,Z,12.10,9.00,10.70,
Porsche,3.00,6.00,Z,12.50,10.00,11.40,
Porsche,2.90,6.00,Z,12.90,10.40,11.80,
Porsche,4.00,8.00,Z,15.60,12.40,14.10,
Porsche,2.00,4.00,Z,10.50,8.00,9.40,
Porsche,2.00,4.00,Z,11.00,8.30,9.80,
Porsche,2.50,4.00,Z,11.80,9.20,10.60,
Porsche,2.50,4.00,Z,12.30,9.40,11.00,
Porsche,2.50,4.00,Z,11.10,8.40,9.90,
Porsche,2.50,4.00,Z,12.10,9.00,10.70,
Porsche,2.00,4.00,Z,12.20,10.20,11.30,
Porsche,3.00,6.00,Z,12.90,10.20,11.70,
Porsche,3.00,6.00,Z,12.40,8.70,10.70,
Porsche,3.00,6.00,Z,12.40,9.00,10.90,
Porsche,3.00,6.00,Z,12.40,9.00,10.90,
Porsche,3.00,6.00,Z,12.20,8.90,10.70,
Porsche,2.90,6.00,Z,13.10,8.90,11.20,
Porsche,2.90,6.00,Z,13.10,8.90,11.20,
Porsche,2.90,6.00,Z,13.10,9.80,11.60,
Porsche,4.00,8.00,Z,14.50,10.20,12.60,
Porsche,4.00,8.00,Z,15.70,10.50,13.40,
Porsche,4.00,8.00,Z,12.80,9.20,11.20,
Porsche,4.00,8.00,Z,12.80,9.20,11.20,
Porsche,4.00,8.00,Z,13.40,10.10,11.90,
Ram,3.60,6.00,X,11.90,9.40,10.80,
Ram,3.60,6.00,X,11.60,9.00,10.40,
Ram,5.70,8.00,X,16.20,10.50,13.60,
Ram,5.70,8.00,X,14.10,10.30,12.40,
Ram,3.60,6.00,X,12.20,9.70,11.10,
Ram,5.70,8.00,X,16.10,11.00,13.80,
Ram,5.70,8.00,X,14.30,11.10,12.90,
Ram,3.00,6.00,D,11.80,8.60,10.40,
Ram,3.60,6.00,X,13.90,9.60,11.90,
Ram,3.60,6.00,E,19.70,13.80,17.00,
Ram,5.70,8.00,X,17.00,12.00,14.80,
Ram,5.70,8.00,X,15.70,11.00,13.60,
Ram,3.00,6.00,D,12.30,8.80,10.80,
Ram,3.60,6.00,X,14.50,10.20,12.60,
Ram,3.60,6.00,E,20.70,14.70,18.00,
Ram,5.70,8.00,X,18.70,13.30,16.30,
Ram,5.70,8.00,X,16.10,11.50,14.00,
Ram,2.40,4.00,X,11.20,8.30,9.90,
Rolls-Royce,6.70,12.00,Z,20.00,11.80,16.30,
Rolls-Royce,6.60,12.00,Z,20.30,13.00,17.00,
Rolls-Royce,6.60,12.00,Z,20.30,13.00,17.00,
Rolls-Royce,6.60,12.00,Z,20.30,13.00,17.00,
Rolls-Royce,6.70,12.00,Z,20.00,11.80,16.30,
Rolls-Royce,6.70,12.00,Z,20.00,11.80,16.30,
Rolls-Royce,6.60,12.00,Z,19.60,12.90,16.60,
Subaru,2.40,4.00,X,11.60,9.00,10.40,
Subaru,2.00,4.00,Z,9.70,7.20,8.60,
Subaru,2.00,4.00,Z,11.20,8.30,9.90,
Subaru,2.00,4.00,X,8.80,7.20,8.10,
Subaru,2.00,4.00,X,10.50,8.10,9.40,
Subaru,2.50,4.00,X,9.00,7.20,8.20,
Subaru,2.00,4.00,X,8.30,6.40,7.50,
