Merk,EngineSize,Cylinders,FuelType,FuelC
10.00,3.60,6.00,2.00,10.40
10.00,3.60,6.00,2.00,11.80
10.00,6.20,8.00,1.00,12.00
10.00,6.20,8.00,1.00,12.60
10.00,6.20,8.00,1.00,15.10
10.00,6.20,8.00,1.00,14.90
10.00,2.50,4.00,2.00,10.80
10.00,2.50,4.00,2.00,10.70
10.00,2.80,4.00,3.00,10.10
10.00,3.60,6.00,2.00,11.70
10.00,2.50,4.00,2.00,11.40
10.00,2.80,4.00,3.00,10.50
10.00,3.60,6.00,2.00,12.20
10.00,2.80,4.00,3.00,12.10
10.00,3.60,6.00,2.00,14.10
10.00,6.20,8.00,1.00,12.70
10.00,6.20,8.00,1.00,12.20
10.00,6.20,8.00,1.00,14.00
10.00,6.20,8.00,1.00,13.50
10.00,6.20,8.00,1.00,16.10
10.00,6.20,8.00,1.00,15.60
10.00,1.40,4.00,2.00,7.30
10.00,1.40,4.00,2.00,7.30
10.00,1.60,4.00,3.00,6.40
10.00,1.40,4.00,2.00,7.30
10.00,1.40,4.00,2.00,7.50
10.00,1.60,4.00,3.00,6.60
10.00,1.50,4.00,2.00,8.30
10.00,1.60,4.00,3.00,7.40
10.00,1.50,4.00,2.00,8.60
10.00,1.60,4.00,3.00,7.40
10.00,2.00,4.00,1.00,9.70
10.00,2.50,4.00,2.00,9.60
10.00,3.60,6.00,2.00,10.80
10.00,3.60,6.00,4.00,14.60
10.00,1.50,4.00,2.00,7.50
10.00,2.00,4.00,1.00,9.10
10.00,1.80,4.00,2.00,5.10
10.00,2.70,4.00,2.00,11.10
10.00,4.30,6.00,2.00,13.50
10.00,5.30,8.00,2.00,13.90
10.00,5.30,8.00,2.00,14.00
10.00,5.30,8.00,4.00,18.40
10.00,5.30,8.00,2.00,12.40
10.00,2.70,4.00,2.00,11.70
10.00,4.30,6.00,2.00,14.00
10.00,4.30,6.00,2.00,14.80
10.00,5.30,8.00,2.00,14.00
10.00,5.30,8.00,2.00,14.40
10.00,5.30,8.00,4.00,19.30
10.00,5.30,8.00,2.00,14.90
10.00,5.30,8.00,2.00,13.10
10.00,5.30,8.00,2.00,13.70
10.00,6.20,8.00,1.00,13.70
10.00,5.30,8.00,2.00,13.50
10.00,5.30,8.00,2.00,13.80
10.00,1.40,4.00,2.00,7.10
10.00,1.40,4.00,2.00,7.20
10.00,5.30,8.00,2.00,13.40
10.00,5.30,8.00,2.00,13.40
10.00,5.30,8.00,4.00,17.90
10.00,5.30,8.00,2.00,14.30
10.00,5.30,8.00,2.00,14.30
10.00,5.30,8.00,4.00,19.00
10.00,6.20,8.00,1.00,14.50
10.00,5.30,8.00,2.00,13.40
10.00,5.30,8.00,2.00,13.40
10.00,5.30,8.00,4.00,17.90
10.00,5.30,8.00,2.00,13.70
10.00,5.30,8.00,2.00,13.70
10.00,5.30,8.00,4.00,18.40
10.00,6.20,8.00,1.00,13.80
10.00,3.60,6.00,2.00,11.10
10.00,3.60,6.00,2.00,11.80
10.00,1.40,4.00,2.00,8.40
10.00,1.40,4.00,2.00,8.30
10.00,1.40,4.00,2.00,9.10
11.00,3.60,6.00,2.00,10.30
11.00,3.60,6.00,2.00,10.30
11.00,3.60,6.00,4.00,14.20
11.00,5.70,8.00,2.00,12.30
11.00,3.60,6.00,2.00,11.00
11.00,3.60,6.00,2.00,11.00
11.00,3.60,6.00,4.00,15.00
11.00,3.60,6.00,2.00,10.90
11.00,3.60,6.00,2.00,10.60
12.00,3.60,6.00,2.00,10.30
12.00,5.70,8.00,1.00,13.10
12.00,6.40,8.00,1.00,13.90
12.00,5.70,8.00,2.00,12.30
12.00,6.40,8.00,1.00,13.00
12.00,3.60,6.00,2.00,11.00
12.00,6.20,8.00,1.00,14.50
12.00,6.20,8.00,1.00,15.10
12.00,6.20,8.00,1.00,14.50
12.00,3.60,6.00,2.00,11.60
12.00,3.60,6.00,2.00,11.60
12.00,3.60,6.00,4.00,16.10
12.00,3.60,6.00,2.00,10.30
12.00,3.60,6.00,2.00,10.30
